RRC-TAPE-RECORD-ID,LDG-GAS-DISP-CODE,LDG-GAS-DISP-AMT,RRC-TAPE-FILLER
03,03,6,
03,03,6,
03,03,6,
03,03,4,
03,03,5,
03,03,5,
03,03,2,
03,03,7,
03,03,5,
03,03,5,
03,03,5,
03,03,9,
03,03,3,
03,03,2,
03,03,4,
03,03,5,
03,03,4,
03,03,5,
03,03,5,
03,03,5,
03,03,2,
03,03,4,
03,03,5,
03,03,5,
03,03,6,
03,03,6,
03,03,6,
03,03,5,
03,03,6,
03,03,6,
03,03,5,
03,03,6,
03,03,6,
03,03,5,
03,03,5,
03,03,4,
03,03,5,
03,03,6,
03,03,6,
03,03,4,
03,03,3,
03,03,5,
03,03,5,
03,03,6,
03,03,4,
03,03,6,
03,03,5,
03,03,5,
03,03,8,
03,03,9,
03,03,7,
03,03,7,
03,03,5,
03,03,7,
03,03,6,
03,03,4,
03,03,3,
03,03,7,
03,03,5,
03,03,5,
03,03,5,
03,03,6,
03,03,7,
03,03,6,
03,03,5,
03,03,6,
03,03,7,
03,03,7,
03,03,8,
03,03,12,
03,03,29,
03,03,26,
03,03,19,
03,03,16,
03,03,11,
03,03,10,
03,03,7,
03,03,6,
03,03,6,
03,03,7,
03,03,4,
03,03,4,
03,03,5,
03,03,6,
03,03,7,
03,03,5,
03,03,5,
03,03,5,
03,03,5,
03,03,6,
03,03,5,
03,03,6,
03,03,2,
03,03,4,
03,03,5,
03,03,5,
03,03,5,
03,03,3,
03,03,5,
03,03,4,
03,03,5,
03,03,6,
03,03,9,
03,03,6,
03,03,9,
03,03,7,
03,03,6,
03,03,6,
03,03,4,
03,03,6,
03,03,7,
03,03,10,
03,03,7,
03,03,6,
03,03,8,
03,03,7,
03,03,9,
03,03,7,
03,03,9,
03,03,10,
03,03,12,
03,03,9,
03,03,8,
03,03,5,
03,03,9,
03,03,6,
03,03,1,
03,03,3,
03,03,3,
03,03,2,
03,03,6,
03,03,4,
03,03,6,
03,03,6,
03,03,6,
03,03,4,
03,03,6,
03,03,2,
03,03,6,
03,03,35,
03,02,8,
03,02,6,
03,02,86,
03,02,86,
03,02,19,
03,02,88,
03,02,157,
03,02,569,
03,02,648,
03,02,729,
03,02,733,
03,02,656,
03,02,344,
03,02,378,
03,02,80,
03,02,259,
03,02,579,
03,02,598,
03,02,720,
03,02,766,
03,02,713,
03,02,816,
03,02,808,
03,02,812,
03,02,678,
03,02,821,
03,02,869,
03,02,922,
03,02,968,
03,02,290,
03,02,938,
03,02,904,
03,02,1005,
03,02,1000,
03,02,991,
03,02,1092,
03,02,841,
03,02,1025,
03,02,1027,
03,02,1062,
03,02,1104,
03,02,1084,
03,02,1234,
03,02,1106,
03,02,782,
03,02,1117,
03,02,1037,
03,02,1064,
03,02,995,
03,02,1126,
03,01,30,
03,03,142,
03,01,26,
03,03,86,
03,01,27,
03,03,120,
03,01,28,
03,03,94,
03,01,22,
03,03,94,
03,01,14,
03,02,52,
03,01,28,
03,02,165,
03,03,194,
03,01,22,
03,03,84,
03,03,190,
03,01,59,
03,03,201,
03,01,59,
03,03,169,
03,03,256,
03,01,47,
03,03,176,
03,03,360,
03,03,339,
03,03,510,
03,03,448,
03,03,603,
03,03,411,
03,03,384,
03,03,425,
03,03,460,
03,03,435,
03,03,507,
03,03,578,
03,03,589,
03,03,485,
03,03,605,
03,03,444,
03,03,430,
03,03,464,
03,03,347,
03,03,381,
03,03,426,
03,03,389,
03,03,442,
03,03,296,
03,03,505,
03,03,467,
03,03,390,
03,03,383,
03,03,276,
03,03,365,
03,03,398,
03,03,1100,
03,03,290,
03,03,315,
03,03,312,
03,03,377,
03,03,420,
03,03,408,
03,03,354,
03,03,373,
03,03,357,
03,03,427,
03,03,338,
03,03,457,
03,03,374,
03,03,365,
03,03,438,
03,03,508,
03,03,388,
03,03,553,
03,03,493,
03,03,406,
03,03,371,
03,03,363,
03,03,425,
03,03,324,
03,03,373,
03,03,252,
03,02,333,
03,03,303,
03,02,238,
03,02,365,
03,03,386,
03,03,250,
03,02,129,
03,03,102,
03,03,80,
03,03,244,
03,02,324,
03,03,543,
03,03,614,
03,03,597,
03,03,639,
03,03,632,
03,03,684,
03,03,623,
03,03,685,
03,03,277,
03,03,137,
03,03,575,
03,03,640,
03,03,700,
03,03,664,
03,03,631,
03,03,654,
03,03,636,
03,03,674,
03,03,678,
03,03,696,
03,03,685,
03,03,684,
03,03,624,
03,03,543,
03,03,663,
03,03,654,
03,03,688,
03,03,620,
03,03,687,
03,03,684,
03,03,699,
03,03,678,
03,03,620,
03,03,696,
03,03,651,
03,03,684,
03,03,507,
03,03,680,
03,03,717,
03,03,716,
03,03,730,
03,03,728,
03,03,685,
03,03,701,
03,03,706,
03,03,673,
03,03,697,
03,03,752,
03,03,699,
03,03,720,
03,03,750,
03,03,727,
03,03,719,
03,03,757,
03,03,706,
03,03,688,
03,03,696,
03,03,684,
03,03,550,
03,03,611,
03,03,665,
03,03,712,
03,03,761,
03,03,752,
03,03,723,
03,03,785,
03,03,683,
03,03,734,
03,03,745,
03,03,744,
03,03,653,
03,03,734,
03,03,736,
03,03,738,
03,03,750,
03,03,735,
03,03,816,
03,03,816,
03,03,626,
03,03,636,
03,03,633,
03,03,698,
03,03,639,
03,03,704,
03,03,745,
03,02,706,
03,03,776,
03,03,750,
03,03,759,
03,03,686,
03,03,772,
03,03,739,
03,03,688,
03,03,757,
03,03,669,
03,03,687,
03,03,614,
03,03,635,
03,03,706,
03,03,633,
03,03,509,
03,03,542,
03,03,490,
03,03,668,
03,03,550,
03,03,658,
03,03,559,
03,03,641,
03,03,638,
03,03,501,
03,03,672,
03,03,680,
03,03,709,
03,03,696,
03,03,672,
03,03,739,
03,03,721,
03,03,696,
03,03,679,
03,03,467,
03,03,744,
03,03,734,
03,03,738,
03,03,689,
03,03,721,
03,03,705,
03,03,672,
03,03,753,
03,03,505,
03,03,704,
03,03,678,
03,03,727,
03,03,713,
03,03,734,
03,03,665,
03,03,732,
03,03,808,
03,03,658,
03,03,666,
03,03,694,
03,03,690,
03,03,712,
03,03,671,
03,03,735,
03,03,739,
03,03,767,
03,03,745,
03,03,783,
03,03,852,
03,03,805,
03,03,766,
03,03,761,
03,03,768,
03,03,764,
03,03,721,
03,03,784,
03,03,817,
03,03,817,
03,03,684,
03,03,732,
03,03,829,
03,03,763,
03,03,869,
03,03,549,
03,03,831,
03,03,855,
03,03,751,
03,03,883,
03,03,877,
03,03,840,
03,03,913,
03,03,913,
03,03,903,
03,03,923,
03,03,894,
03,03,918,
03,03,856,
03,02,890,
03,02,831,
03,02,925,
03,02,939,
03,02,973,
03,02,1073,
03,02,375,
03,02,198,
03,02,916,
03,02,910,
03,02,959,
03,02,981,
03,02,698,
03,02,823,
03,02,882,
03,02,755,
03,02,681,
03,02,845,
03,02,820,
03,02,811,
03,02,876,
03,02,798,
03,02,868,
03,02,822,
03,02,839,
03,02,761,
03,02,821,
03,02,820,
03,02,804,
03,02,928,
03,02,451,
03,02,943,
03,02,928,
03,02,921,
03,02,951,
03,02,925,
03,02,934,
03,02,848,
03,02,973,
03,02,947,
03,02,936,
03,02,964,
03,02,917,
03,02,972,
03,02,991,
03,02,869,
03,02,1000,
03,02,992,
03,02,1027,
03,02,934,
03,02,1047,
03,01,52,
03,03,167,
03,01,96,
03,03,300,
03,01,104,
03,03,323,
03,01,84,
03,03,291,
03,01,80,
03,03,278,
03,01,86,
03,03,327,
03,01,100,
03,03,355,
03,01,90,
03,03,311,
03,01,101,
03,03,356,
03,01,82,
03,03,294,
03,01,73,
03,03,283,
03,01,50,
03,03,196,
03,01,58,
03,03,223,
03,01,66,
03,03,265,
03,01,77,
03,03,306,
03,01,90,
03,03,332,
03,01,97,
03,03,312,
03,01,74,
03,03,275,
03,01,66,
03,03,217,
03,01,68,
03,03,343,
03,01,62,
03,03,337,
03,01,65,
03,03,347,
03,01,64,
03,03,316,
03,01,71,
03,03,348,
03,01,73,
03,03,215,
03,01,49,
03,03,226,
03,01,57,
03,03,300,
03,01,46,
03,03,222,
03,01,47,
03,03,156,
03,01,56,
03,03,251,
03,01,51,
03,03,171,
03,01,43,
03,03,185,
03,01,57,
03,02,212,
03,01,48,
03,02,281,
03,03,311,
03,01,26,
