RRC-TAPE-RECORD-ID,LDG-CONDS-DISP-CODE,LDG-CONDS-DISP-AMT,RRC-TAPE-FILLER
04,06,61,
04,01,112,
04,07,3,
04,07,7,
04,07,27,
04,07,72,
04,07,88,
04,07,9,
04,07,3,
04,07,7,
04,07,5,
04,07,9,
04,07,79,
04,07,6,
04,07,1,
04,07,17,
04,01,113,
04,07,9,
04,01,167,
04,05,20,
04,08,2,
04,08,1,
04,08,1,
04,08,1,
04,08,3,
04,08,1,
04,08,1,
04,08,2,
04,08,1,
04,08,9,
04,08,8,
04,08,1,
04,08,1,
04,01,182,
04,01,155,
04,01,167,
04,01,140,
04,08,15,
04,08,3,
04,08,1,
04,08,1,
04,08,2,
04,08,3,
04,08,1,
04,01,183,
04,08,3,
04,01,187,
04,01,161,
04,08,2,
04,08,1,
04,08,23,
04,08,5,
04,01,138,
04,08,2,
04,08,4,
04,08,2,
04,01,179,
04,08,2,
04,08,3,
04,08,3,
04,08,9,
04,01,174,
04,01,174,
04,08,33,
04,08,22,
04,08,17,
04,08,27,
04,01,179,
04,08,17,
04,08,11,
04,08,8,
04,08,18,
04,08,25,
04,01,172,
04,08,21,
04,08,36,
04,08,89,
04,08,30,
04,08,9,
04,01,162,
04,08,36,
04,08,26,
04,08,24,
04,08,4,
04,01,161,
04,08,39,
04,08,39,
04,08,60,
04,01,174,
04,08,44,
04,08,85,
04,08,64,
04,01,174,
04,08,34,
04,08,50,
04,08,27,
04,08,32,
04,01,172,
04,08,37,
04,08,123,
04,08,94,
04,01,152,
04,08,6,
04,08,11,
04,08,8,
04,08,9,
04,01,173,
04,08,2,
04,01,165,
04,08,4,
04,08,1,
04,08,1,
04,08,1,
04,01,164,
04,08,2,
04,08,1,
04,08,1,
04,01,170,
04,08,2,
04,08,3,
04,01,167,
04,08,1,
04,08,2,
04,01,175,
04,08,2,
04,08,1,
04,08,1,
04,01,155,
04,06,16,
04,08,1,
04,08,1,
04,01,155,
04,06,9,
04,08,1,
04,01,179,
04,08,1,
04,01,178,
04,08,1,
04,08,1,
04,01,172,
04,01,169,
04,08,1,
04,08,2,
04,08,3,
04,08,2,
04,08,6,
04,08,6,
04,08,2,
04,08,2,
04,08,11,
04,08,5,
04,08,1,
04,08,10,
04,08,6,
04,08,8,
04,08,21,
04,08,9,
04,08,5,
04,08,8,
04,08,1,
04,08,9,
04,08,5,
04,08,2,
04,08,1,
04,08,8,
04,08,2,
04,08,5,
04,08,7,
04,08,44,
04,08,8,
04,08,1,
04,08,2,
04,08,6,
04,08,5,
04,08,17,
04,08,19,
04,08,5,
04,08,17,
04,08,2,
04,08,2,
04,08,2,
04,08,3,
04,08,6,
04,08,3,
04,08,10,
04,08,5,
04,08,2,
04,08,3,
04,08,4,
04,08,1,
04,08,2,
04,08,1,
04,08,2,
04,08,5,
04,08,1,
04,08,1,
04,08,1,
04,08,2,
04,08,1,
04,08,4,
04,08,5,
04,08,2,
04,08,8,
04,08,2,
04,09,2,
04,08,5,
04,01,151,
04,01,172,
04,01,184,
04,01,182,
04,01,190,
04,01,172,
04,01,184,
04,01,182,
04,01,168,
04,01,180,
04,01,186,
04,01,166,
04,01,170,
04,01,183,
04,01,190,
04,01,188,
04,01,191,
04,01,169,
04,01,174,
04,01,176,
04,01,184,
04,01,182,
04,01,184,
04,01,192,
04,01,191,
04,01,193,
04,01,190,
04,01,194,
04,01,189,
04,01,193,
04,01,191,
04,01,189,
04,01,181,
04,01,179,
04,01,176,
04,01,176,
04,01,176,
04,01,178,
04,01,173,
04,01,172,
04,01,179,
04,01,178,
04,01,192,
04,01,184,
04,01,184,
04,01,179,
04,01,354,
04,01,181,
04,01,184,
04,01,155,
04,01,150,
04,01,149,
04,07,8,
04,01,167,
04,07,3,
04,01,185,
04,01,185,
04,07,2,
04,01,182,
04,01,188,
04,01,163,
04,01,175,
04,01,184,
04,01,189,
04,01,179,
04,01,184,
04,01,191,
04,01,181,
04,01,175,
04,01,179,
04,01,182,
04,01,368,
04,01,187,
04,01,185,
04,01,187,
04,01,201,
04,01,177,
04,01,395,
04,01,589,
04,01,194,
04,01,783,
04,01,197,
04,01,36,
04,01,10,
04,01,39,
04,01,13,
04,01,21,
04,01,22,
04,01,33,
04,01,53,
04,01,13,
04,01,24,
04,01,44,
04,01,37,
04,01,53,
04,01,38,
04,01,28,
04,01,17,
04,01,31,
04,01,36,
04,01,42,
04,01,56,
04,01,51,
04,01,50,
04,01,52,
04,01,70,
04,01,74,
04,01,63,
04,01,22,
04,01,8,
04,01,22,
04,01,53,
04,01,62,
04,01,46,
04,01,44,
04,01,44,
04,01,57,
04,01,77,
04,01,30,
04,01,71,
04,01,70,
04,01,99,
04,01,25,
04,01,12,
04,01,50,
04,01,81,
04,01,55,
04,01,66,
04,01,48,
04,01,53,
04,01,84,
04,01,86,
04,01,67,
04,01,165,
04,01,74,
04,01,77,
04,01,84,
04,01,135,
04,01,151,
04,01,111,
04,01,139,
04,01,207,
04,01,86,
04,01,295,
04,01,392,
04,01,441,
04,01,493,
04,01,19,
04,01,19,
04,01,25,
04,01,25,
04,01,22,
04,01,28,
04,01,30,
04,01,30,
04,01,137,
04,01,153,
04,01,181,
04,01,149,
04,01,233,
04,01,204,
04,01,3,
04,01,2,
04,01,2,
04,01,2,
04,01,2,
04,01,3,
04,01,1,
04,01,2,
04,01,1,
04,01,1,
04,01,2,
04,01,2,
04,01,1,
04,01,3,
04,01,2,
04,01,2,
04,01,1,
04,01,1,
04,01,3,
04,01,2,
04,01,2,
04,01,2,
04,01,2,
04,01,3,
04,01,2,
04,01,1,
04,01,3,
04,01,3,
04,01,1,
04,01,4,
04,01,1,
04,01,2,
04,01,1,
04,01,2,
04,01,2,
04,01,2,
04,01,3,
04,01,2,
04,01,1,
04,01,2,
04,01,3,
04,01,2,
04,01,2,
04,01,2,
04,01,1,
04,01,1,
04,01,1,
04,01,2,
04,01,3,
04,01,4,
04,01,3,
04,01,4,
04,01,2,
04,01,4,
04,01,4,
04,01,2,
04,01,5,
04,01,4,
04,01,4,
04,01,4,
04,01,4,
04,01,4,
04,01,7,
04,01,5,
04,01,8,
04,01,3,
04,01,10,
04,01,5,
04,01,7,
04,01,2,
04,01,2,
04,01,4,
04,01,7,
04,01,6,
04,01,6,
04,01,13,
04,01,10,
04,01,7,
04,01,6,
04,01,8,
04,01,11,
04,01,23,
04,01,11,
04,01,9,
04,01,10,
04,01,18,
04,01,16,
04,01,8,
04,01,20,
04,01,21,
04,01,19,
04,01,12,
04,01,9,
04,01,8,
04,01,14,
04,01,7,
04,01,14,
04,01,14,
04,01,7,
04,01,15,
04,01,15,
04,01,18,
04,01,15,
04,01,13,
04,01,7,
04,01,17,
04,01,8,
04,01,7,
04,01,14,
04,01,14,
04,01,13,
04,01,18,
04,01,19,
04,01,7,
04,01,13,
04,01,15,
04,01,12,
04,01,14,
04,01,13,
