LEASE-REC-TYPE-REC,LEASE-REC-DIST,LEASE-REC-FIELD,LEASE-REC-OPR,LEASE-REC-LEASE,LEASE-REC-FILLER,LEASE-REC-OFFSHORE,L-NAME,LSE-CO,POGATH,PGGATH,OSPLIT,GSPLIT,OOGATH,OGGATH,OOPR,BO-STATUS,BG-STATUS,MOVE-BAL,PO-STATUS,PG-STATUS,SEC-REC,CERT,BATCH,L-LPB,COMMINGLE-CD,COMMINGLE,L-INFO,AD-BO-STATUS,AD-BG-STATUS,COMMINGLE-DATE,L-RMCD,L-RMDT,SEV-CD-13,SEV-CD-14,L-CAS-SI-LTR-DTE,L-RED-RTE-DTE,L-EXC-TST,L-RLTYCD,L-ONE-WELL-LEASE,L-PANHANDLE-GOR-EXC,L-PANHANDLE-GOR-AMT,FILLER5,L-MONTH-DATE,LM-SEV,LM-RETRO,LM-REC,LM-CHG,LM-ALLOW,LM-PROD,LM-FW,LM-OW,LM-PL,LM-PLC,LM-OTH,LM-OTHC,LM-STO,LM-GL,LM-GPROD,LM-GLIFT,LM-CSIL,LM-JOHN,LM-LTR-CODE,FILLER6,FILLER7,FILLER8
3,01,00002001,000893,19016,00,0,EARNESTINE,331000,SUNOC,,0,0,,,000000,0,0,0,0,0,0,00,,0,0,0000,,0,0,000000,0,000000,1,1,000000,000000,0,0,N,,0.0,0000,202109,0,0,0,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
3,01,00002001,025443,13564,00,0,KITTIE,177000,,,0,0,,,000000,0,0,0,0,0,0,00,,0,0,0000,,0,0,000000,0,000000,1,1,000000,000000,0,0,N,,0.0,0000,202109,1,0,0,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
3,01,00002001,036043,17553,00,0,WHITWORTH,323000,,,0,0,,,000000,0,0,0,0,0,0,00,,0,0,0000,,0,0,000000,0,000000,1,1,000000,000000,0,0,N,,0.0,0000,202109,1,0,0,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
3,01,00002001,064104,17133,00,0,CROUCH,163000,,,0,0,,,534219,0,0,0,0,0,9,00,,0,0,0000,,0,0,000000,0,000000,1,1,000000,000000,0,0,N,,0.0,0000,202109,1,1,3,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
3,01,00002001,070376,16114,00,0,CHITTIM RANCH 28,323000,,,0,0,,,000000,0,0,0,0,0,0,00,,0,0,0000,,0,0,000000,0,000000,1,1,000000,000000,0,0,N,,0.0,0000,202109,1,0,0,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
3,01,00002001,070376,17406,00,0,CHITTIM RANCH 80,323000,,,0,0,,,000000,0,0,0,0,0,0,00,,0,0,0000,,0,0,000000,0,000000,1,1,000000,000000,0,0,N,,0.0,0000,202109,1,0,0,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
3,01,00002001,072704,13757,00,0,BARNES,029000,NGLCL,,0,0,,,028802,0,0,0,0,0,0,00,,0,0,0000,,0,0,000000,1,000000,1,1,000000,000000,0,0,N,,0.0,0000,202109,1,0,0,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
3,01,00002001,073057,16211,00,0,GUAJILLO,325000,ENTCO,,0,0,,,000000,0,0,0,0,0,0,00,,0,0,0000,,0,0,000000,1,000000,1,1,000000,000000,0,0,N,,0.0,0000,202109,1,0,0,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
3,01,00002001,073059,15069,00,0,CHITTIM,323000,,,0,0,,,774719,0,0,0,0,0,0,00,,0,0,0000,,0,0,000000,0,000000,0,0,000000,000000,0,0,N,,0.0,0000,202109,0,0,0,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
3,01,00002001,073059,18753,00,0,CHITTIM HEIRS,323000,,,0,0,,,000000,0,0,0,0,0,9,00,,0,0,0000,,0,0,000000,0,000000,0,0,000000,000000,0,0,N,,0.0,0000,202109,0,1,3,0,0,0,000,000,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000000000000,0000
