MULTI-W-REC-TYPE-REC,MULTI-W-REC-DIST,MUTLI-W-REC-FIELD,MULTI-W-REC-OPR,MULTI-W-REC-LEASE,MULTI-W-REC-FILLER,MULTI-W-REC-OFFSHORE,M-RECORD,TYPEW,RESER,M-COUNTY,M-TST-EFF,M-PNTR-1ST,CAP,PROD-WELL,MARG-WELL,M-DEPTH,M-PNTR-LST,M-EXC-TEST,FILLER9,M-WATER,M-REMARK,MM-PRCNT,FILLER10,M-MONTH-DATE,MM-CHG,MM-NO,MM-ALLOW,MM-ACODE,MM-TCODE,MM-LIMIT,MM-ALLOW2,MM-ACODE2,MM-TCODE2,MM-LIMIT2,MM-DATE2,MM-ALLOW3,MM-ACODE3,MM-TCODE3,MM-LIMIT3,MM-DATE3,MM-FORM-LCK,MM-SPACE1,MM-KODE2,MM-SPACE2,MM-JOHN,FILLER11,FILLER12
4,01,06469001,227627,00031,00,0,1,P,,325000,,000002,0,003000,000000,0,000004,0,00000000000,000006,,0.0,00000000000,202109,0,2,3,1,0,330,0,0,0,0,00,0,0,0,0,00,0,3,0,0,1,000000000,000000000
4,01,07850001,534219,03380,00,0,1,P,,163000,,000005,0,000000,169000,0,000298,0,00000000000,000124,,0.0,00000000000,202109,0,2,5,1,0,15744,0,0,0,0,00,0,0,0,0,00,0,26,0,0,0,000000000,000000000
4,01,15146001,036587,00177,00,0,1,P,,311000,,000299,0,007005,000000,0,000310,0,00000000000,014270,,0.0,00000000000,202109,0,2,43,1,0,682,0,0,0,0,00,0,0,0,0,00,0,41,0,0,0,000000000,000000000
4,01,17248568,427858,03269,00,0,A,P,,013000,,000311,0,006002,001000,0,000319,4,00000000000,003530,,0.0,00000000000,202109,0,2,45,1,0,1616,0,0,0,0,00,0,0,0,0,00,0,31,0,0,1,000000000,000000000
4,01,17248710,480178,03316,00,0,1,P,,013000,,000320,0,003001,001000,0,000324,0,00000000000,000370,,0.0,00000000000,202109,0,2,11,1,0,320,0,0,0,0,00,0,0,0,0,00,0,11,0,0,1,000000000,000000000
4,01,17248710,480178,03317,00,0,1,P,,013000,,000325,0,001001,000000,0,000326,0,00000000000,000060,,0.0,00000000000,202109,0,2,2,1,0,80,0,0,0,0,00,0,0,0,0,00,0,3,0,0,1,000000000,000000000
4,01,17248710,480178,03318,00,0,1,P,,013000,,000327,0,003001,000000,0,000330,0,00000000000,000099,,0.0,00000000000,202109,0,2,5,1,0,320,0,0,0,0,00,0,0,0,0,00,0,5,0,0,1,000000000,000000000
4,01,17248710,696448,03274,00,0,1,P,,013000,,000331,0,001000,000000,0,000331,0,00000000000,000070,,0.0,00000000000,202109,0,2,4,1,0,80,0,0,0,0,00,0,0,0,0,00,0,4,0,0,1,000000000,000000000
4,01,17248710,696448,03275,00,0,1,P,,013000,,000332,0,004000,005000,0,000340,0,00000000000,000150,,0.0,00000000000,202109,0,2,4,1,0,320,0,0,0,0,00,0,0,0,0,00,0,4,0,0,1,000000000,000000000
4,01,17248710,696448,03276,00,0,1,P,,013000,,000341,0,003000,011000,0,000354,0,00000000000,000114,,0.0,00000000000,202109,0,2,3,1,0,80,0,0,0,0,00,0,0,0,0,00,0,4,0,0,0,000000000,000000000
